Dstat 0.7.2 CSV output,,,,,,,,,,,,,,,
Author:,Dag Wieers <dag@wieers.com>,,,,URL:,http://dag.wieers.com/home-made/dstat/,,,,,,,,,
Host:,pi00,,,,User:,daniel,,,,,,,,,
Cmdline:,dstat -cdlsm --output 4W32B1R.log,,,,Date:,14 Jun 2015 03:28:28 PDT,,,,,,,,,
,,,,,,,,,,,,,,,
total cpu usage,,,,,,dsk/total,,load avg,,,swap,,memory usage,,
91.228,2.506,6.015,0,0,0.251,4718592,0,3.29,1.37,0.95,0,104853504,619581440,323956736,21475328
91.94,1.511,6.549,0,0,0,6029312,0,3.29,1.37,0.95,0,104853504,621588480,326901760,16523264
94.763,1.746,3.491,0,0,0,4980736,0,3.29,1.37,0.95,0,104853504,623054848,329785344,12173312
92.25,4,3.75,0,0,0,6291456,0,3.29,1.37,0.95,0,104853504,624533504,319152128,21471232
90.773,1.746,6.983,0,0,0.499,4718592,24576,3.34,1.41,0.97,0,104853504,627798016,321429504,15921152
92.982,3.008,3.258,0.501,0,0.251,4988928,270336,3.34,1.41,0.97,0,104853504,629723136,319913984,15507456
94.5,1.5,3.75,0,0,0.25,4980736,0,3.34,1.41,0.97,0,104853504,631177216,319057920,14909440
93.812,2.723,3.465,0,0,0,5505024,0,3.34,1.41,0.97,0,104853504,632856576,317714432,14573568
90.955,1.759,7.286,0,0,0,5242880,0,3.34,1.41,0.97,0,104853504,635523072,316473344,13148160
92.269,2.244,5.486,0,0,0,5767168,0,3.34,1.41,0.97,0,104853504,637321216,311820288,16003072
94,2.25,3.75,0,0,0,4980736,65536,3.48,1.47,0.99,0,104853504,638967808,314290176,11878400
92.481,3.509,3.258,0.501,0,0.251,5505024,0,3.48,1.47,0.99,0,104853504,640098304,309157888,15880192
90.452,1.759,7.789,0,0,0,5242880,0,3.48,1.47,0.99,0,104853504,643198976,304201728,17735680
93.052,3.474,3.474,0,0,0,5505024,0,3.48,1.47,0.99,0,104853504,644804608,306954240,13377536
94.71,2.267,3.023,0,0,0,5505024,0,3.48,1.47,0.99,0,104853504,646139904,304545792,14450688
89.25,3.75,6.5,0.25,0,0.25,5242880,0,3.52,1.52,1,0,104853504,648032256,305631232,11472896
92.929,1.515,5.556,0,0,0,5505024,24576,3.52,1.52,1,0,104853504,649879552,302485504,12763136
94.5,1.25,4.25,0,0,0,524288,0,3.52,1.52,1,0,104853504,651161600,299298816,14667776
94.236,2.506,3.008,0,0,0.251,0,0,3.52,1.52,1,0,104853504,652525568,299298816,13303808
90.68,2.015,7.305,0,0,0,0,0,3.52,1.52,1,0,104853504,655376384,295813120,13938688
94.5,2,3.5,0,0,0,0,0,3.56,1.56,1.02,0,104853504,656736256,295723008,12668928
94,2.25,3.75,0,0,0,0,0,3.56,1.56,1.02,0,104853504,658108416,295723008,11296768
91.94,1.008,7.053,0,0,0,0,24576,3.56,1.56,1.02,0,104853504,661561344,288632832,14925824
85.856,1.489,12.655,0,0,0,16384,0,3.56,1.56,1.02,0,104853504,665051136,288649216,11419648
26.119,0.498,73.383,0,0,0,0,0,3.56,1.56,1.02,0,104853504,665018368,288649216,11452416
77.136,2.01,20.854,0,0,0,0,0,3.35,1.55,1.02,0,104853504,664973312,285315072,14831616
95.477,1.759,2.764,0,0,0,0,0,3.35,1.55,1.02,0,104853504,664973312,285315072,14831616
95.99,2.506,1.504,0,0,0,0,0,3.35,1.55,1.02,0,104853504,664997888,285233152,14888960
92.732,3.008,3.509,0,0,0.752,0,32768,3.35,1.55,1.02,0,104853504,665206784,285679616,14225408
33.25,1.5,65,0,0,0.25,0,0,3.35,1.55,1.02,0,104853504,664522752,288215040,12357632
1.003,0,89.223,9.774,0,0,8192,4186112,3.08,1.52,1.01,0,104853504,664510464,288256000,12324864
1.489,0,96.278,2.233,0,0,0,1925120,3.08,1.52,1.01,0,104853504,664465408,288227328,12398592
1.003,0.251,98.747,0,0,0,0,0,3.08,1.52,1.01,0,104853504,664424448,288227328,12439552
0.501,0.251,98.747,0.501,0,0,0,196608,3.08,1.52,1.01,0,104853504,664334336,288219136,12529664
2.005,0.251,97.494,0.251,0,0,557056,0,3.08,1.52,1.01,0,104853504,664252416,288526336,12304384
10.859,1.263,86.869,0,0,1.01,0,0,2.84,1.5,1.01,0,104853504,665673728,285171712,14237696
89.724,2.005,4.511,0,0,3.759,0,0,2.84,1.5,1.01,0,104853504,672362496,278507520,14213120
88.25,2.5,6.75,0,0,2.5,0,0,2.84,1.5,1.01,0,104853504,671916032,278491136,14675968
93.052,2.233,2.233,0,0,2.481,0,0,2.84,1.5,1.01,0,104853504,672108544,278491136,14483456
92,2.25,2.5,0,0,3.25,0,40960,2.84,1.5,1.01,0,104853504,671764480,278495232,14815232
91.729,2.256,3.509,0,0,2.506,0,0,2.93,1.54,1.02,0,104853504,672051200,278495232,14528512
88.25,2.5,7.25,0,0,2,0,0,2.93,1.54,1.02,0,104853504,674172928,278495232,12406784
91.25,2.5,3.5,0,0,2.75,0,0,2.93,1.54,1.02,0,104853504,674496512,278495232,12083200
93.5,2.25,2.75,0,0,1.5,0,0,2.93,1.54,1.02,0,104853504,674459648,278495232,12120064
91.228,2.005,3.509,0,0,3.258,0,24576,2.93,1.54,1.02,0,104853504,675639296,275247104,14180352
88,1.75,7.25,0,0,3,0,0,3.02,1.58,1.04,0,104853504,676294656,275247104,13524992
93.484,1.253,3.258,0,0,2.005,0,0,3.02,1.58,1.04,0,104853504,676052992,275247104,13766656
89.724,4.01,3.509,0,0,2.757,0,0,3.02,1.58,1.04,0,104853504,677593088,272064512,15409152
93.25,1.25,3.5,0,0,2,0,0,3.02,1.58,1.04,0,104853504,677453824,272039936,15572992
88.665,2.267,7.053,0,0,2.015,0,24576,3.02,1.58,1.04,0,104853504,677613568,272031744,15413248
90.025,1.995,5.237,0,0,2.743,0,0,3.09,1.62,1.06,0,104853504,677347328,272039936,15671296
89.75,2.25,5.25,0,0,2.75,0,0,3.09,1.62,1.06,0,104853504,677376000,272039936,15642624
92.25,3.25,3,0,0,1.5,0,0,3.09,1.62,1.06,0,104853504,677081088,272039936,15937536
89.673,1.511,6.801,0,0,2.015,0,0,3.09,1.62,1.06,0,104853504,677208064,272039936,15810560
93.97,1.508,3.518,0,0,1.005,0,0,3.09,1.62,1.06,0,104853504,677109760,272039936,15908864
90.773,3.242,3.99,0,0,1.995,0,24576,3.25,1.68,1.08,0,104853504,677068800,272039936,15941632
93.484,1.754,3.008,0,0,1.754,0,0,3.25,1.68,1.08,0,104853504,676745216,272039936,16265216
86.534,2.494,9.726,0,0,1.247,0,0,3.25,1.68,1.08,0,104853504,677072896,272039936,15937536
91.688,3.526,3.526,0,0,1.259,0,0,3.25,1.68,1.08,0,104853504,677007360,272039936,16003072
92.519,2.743,2.993,0,0,1.746,0,0,3.25,1.68,1.08,0,104853504,676909056,272039936,16101376
91.25,2,4.5,0,0,2.25,0,90112,3.31,1.71,1.09,0,104853504,677060608,272039936,15941632
90.547,2.488,4.975,0,0,1.99,0,0,3.31,1.71,1.09,0,104853504,676962304,272039936,16039936
91.98,3.759,3.509,0,0,0.752,0,0,3.31,1.71,1.09,0,104853504,677158912,272039936,15843328
90.476,3.258,4.261,0,0,2.005,0,0,3.31,1.71,1.09,0,104853504,677126144,272039936,15876096
89,2.5,7,0,0,1.5,0,0,3.31,1.71,1.09,0,104853504,677289984,272039936,15712256
90.796,2.488,3.731,0,0,2.985,0,245760,3.36,1.75,1.11,0,104853504,678076416,272035840,14917632
63.861,1.485,32.921,0,0,1.733,0,0,3.36,1.75,1.11,0,104853504,680013824,272039936,12976128
26.044,1.966,71.99,0,0,0,0,0,3.36,1.75,1.11,0,104853504,679817216,272039936,13172736
89.474,2.005,7.018,0,0,1.504,0,0,3.36,1.75,1.11,0,104853504,680603648,272039936,12386304
93.734,2.256,2.005,0,0,2.005,0,0,3.36,1.75,1.11,0,104853504,680112128,272039936,12877824
94.458,2.015,1.763,0,0,1.763,0,73728,3.41,1.79,1.12,0,104853504,680042496,272039936,12939264
93.451,1.259,3.275,0,0,2.015,0,0,3.41,1.79,1.12,0,104853504,679809024,272039936,13172736
94.75,1.5,1.5,0,0,2.25,0,0,3.41,1.79,1.12,0,104853504,679809024,272039936,13172736
93.985,1.504,1.754,0,0,2.757,0,0,3.41,1.79,1.12,0,104853504,679575552,272044032,13402112
93.766,1.995,1.496,0,0,2.743,0,0,3.41,1.79,1.12,0,104853504,679608320,272044032,13369344
91.771,2.494,3.242,0,0,2.494,0,24576,3.54,1.84,1.15,0,104853504,679600128,272044032,13369344
92.25,2.75,2.25,0,0,2.75,516096,0,3.54,1.84,1.15,0,104853504,679854080,272142336,12865536
94.458,0.756,1.763,0,0,3.023,0,0,3.54,1.84,1.15,0,104853504,679677952,272150528,13033472
91.479,2.256,4.511,0,0,1.754,0,0,3.54,1.84,1.15,0,104853504,679809024,272150528,12902400
91.771,2.494,2.244,0,0,3.491,0,0,3.54,1.84,1.15,0,104853504,679677952,272150528,13033472
94.221,1.759,1.508,0.251,0,2.261,0,24576,3.58,1.88,1.16,0,104853504,679710720,272142336,13000704
92.537,2.239,2.985,0,0,2.239,0,0,3.58,1.88,1.16,0,104853504,679800832,272150528,12902400
90.909,2.273,5.051,0,0,1.768,0,0,3.58,1.88,1.16,0,104853504,679735296,272150528,12967936
94.236,1.754,2.506,0,0,1.504,0,0,3.58,1.88,1.16,0,104853504,679768064,272150528,12935168
93.035,1.493,2.736,0,0,2.736,0,0,3.58,1.88,1.16,0,104853504,679841792,272150528,12861440
92.768,1.746,3.242,0,0,2.244,0,0,3.61,1.91,1.18,0,104853504,678940672,272150528,13762560
90.977,2.256,4.762,0,0,2.005,0,40960,3.61,1.91,1.18,0,104853504,677068800,272150528,15626240
86.717,1.504,10.777,0,0,1.003,0,0,3.61,1.91,1.18,0,104853504,674058240,272838656,17948672
60.804,2.513,36.181,0,0,0.503,819200,0,3.61,1.91,1.18,0,104853504,671797248,273801216,19238912
35.25,1,63.75,0,0,0,0,0,3.61,1.91,1.18,0,104853504,671191040,274796544,18841600
26.303,0.744,72.953,0,0,0,8192,139264,3.4,1.9,1.18,0,104853504,669683712,274792448,20348928
10.396,0.743,83.416,5.446,0,0,0,4685824,3.4,1.9,1.18,0,104853504,669040640,275513344,20254720
21.374,6.616,69.72,1.018,0,1.272,729088,0,3.4,1.9,1.18,0,104853504,745390080,207056896,12357632
37.632,7.632,45.526,0.263,0,8.947,3858432,0,3.4,1.9,1.18,0,104853504,754016256,198434816,12353536
27.681,1.496,69.077,0.249,0,1.496,1482752,0,3.4,1.9,1.18,0,104853504,753876992,199073792,11853824
25.871,0.746,73.134,0,0,0.249,0,0,3.21,1.88,1.17,0,104853504,758259712,193175552,13369344
26.131,0.251,73.116,0.503,0,0,0,139264,3.21,1.88,1.17,0,104853504,758259712,193167360,13369344
26.434,0.499,73.067,0,0,0,40960,0,3.21,1.88,1.17,0,104853504,758337536,193175552,13283328
26.98,0.743,72.277,0,0,0,0,0,3.21,1.88,1.17,0,104853504,758337536,193175552,13283328
18.579,4.645,69.126,0.546,0,7.104,335872,0,3.21,1.88,1.17,0,104853504,767074304,184926208,12795904
1.496,0.249,98.254,0,0,0,0,0,2.95,1.85,1.17,0,104853504,766992384,184942592,12861440
1.493,0.249,98.259,0,0,0,0,0,2.95,1.85,1.17,0,104853504,766992384,184942592,12861440
0.501,0.251,99.248,0,0,0,0,32768,2.95,1.85,1.17,0,104853504,766992384,184934400,12861440
1.737,0.248,98.015,0,0,0,0,0,2.95,1.85,1.17,0,104853504,766984192,184942592,12861440
1.741,0.249,98.01,0,0,0,0,0,2.95,1.85,1.17,0,104853504,766984192,184942592,12861440
1.256,0,98.744,0,0,0,0,0,2.72,1.82,1.16,0,104853504,766984192,184942592,12861440
1.493,0.498,98.01,0,0,0,0,0,2.72,1.82,1.16,0,104853504,766980096,184946688,12861440
1.253,0.251,98.496,0,0,0,0,0,2.72,1.82,1.16,0,104853504,766980096,184946688,12861440
0.998,0.998,97.506,0.499,0,0,0,24576,2.72,1.82,1.16,0,104853504,766980096,184938496,12861440
1.485,1.238,97.277,0,0,0,0,0,2.72,1.82,1.16,0,104853504,766971904,184946688,12861440
1.741,0.746,97.512,0,0,0,0,0,2.5,1.79,1.16,0,104853504,766939136,184946688,12894208
0.253,0.253,99.495,0,0,0,0,0,2.5,1.79,1.16,0,104853504,766971904,184946688,12861440
1.003,0.251,98.747,0,0,0,0,0,2.5,1.79,1.16,0,104853504,766971904,184946688,12861440
2.469,0.247,97.284,0,0,0,0,0,2.5,1.79,1.16,0,104853504,766971904,184946688,12861440
10.199,3.234,85.075,1.493,0,0,1122304,40960,2.5,1.79,1.16,0,104853504,768143360,176451584,20176896
